,X1,X2
fri_c0_500_5.arff,0.36904011284580396,-0.006418217264559493
vertebra-column_phpZeLjnh.arff,0.09355642306320816,-0.000621209764538535
fri_c1_1000_25.arff,0.22336887071442801,-0.19071592298241297
fri_c2_100_25.arff,-0.13554930238455298,-0.18821644820169103
chatfield_4.arff,-0.1681088545410571,-0.07955828901149221
no2.arff,0.2369432280159423,-0.15855596337967953
fri_c4_500_10.arff,0.18192195781957038,-0.12631705532133225
fri_c1_500_50.arff,0.09791828534182019,-0.2015561424347728
fri_c0_250_50.arff,-0.10941260594667371,-0.174009141278995
fri_c4_1000_10.arff,0.25221887216996575,-0.11820577141138884
ecoli.arff,0.02206262736344441,0.3361818955528276
fri_c3_1000_10.arff,0.25121980305338,-0.13098369229305956
qsar-biodeg_phpGUrE90.arff,0.2249195585053579,0.11849495654856551
fri_c0_100_50.arff,-0.19723056768747196,-0.15567629936019328
fri_c2_1000_5.arff,0.4342904703850119,0.07063687141279267
ar6.arff,-0.13127496830562674,0.09396848899603918
arsenic-male-bladder.arff,0.21864730705358051,0.38658802881449117
fri_c2_250_25.arff,0.06494387468916979,-0.2010607204904633
fri_c3_500_25.arff,0.157777602192648,-0.18860413590409827
analcatdata_authorship-2.arff,-0.23002852679639385,0.0004506735516681434
machine_cpu.arff,0.23387972376820834,0.27793988882459253
transplant.arff,-0.38138582484971256,0.4985900656140604
arsenic-female-lung.arff,0.09763126402376673,0.4583371707959205
pm10.arff,0.2684919664739405,-0.1761746642436635
cpu.arff,-0.0485307640629148,0.40698575326982694
fri_c2_1000_50.arff,0.19608652899126053,-0.19269579916013965
waveform-5000.arff,0.10509732297655267,-0.11009955270370636
cpu_small.arff,0.3268305803446445,0.1725160204211188
fri_c2_1000_10.arff,0.3051257913127463,-0.1270882528920362
fri_c0_1000_25.arff,0.24016682561774413,-0.17108312522182767
mfeat-fourier.arff,-0.30648996245559057,0.35515952704936654
chscase_census6.arff,0.20764353005788289,-0.18753401441686898
user-knowledge_phpSOw1Kl.arff,-0.2269291834703361,-0.10293258095926255
fri_c1_500_10.arff,0.28483614640003724,-0.1474331482146003
dataset_40_sonar.arff,-0.14717277124135963,-0.005919498698132605
analcatdata_vineyard.arff,0.4248889348919457,0.07421571797451355
fri_c3_1000_50.arff,0.14553312906260302,-0.19897453988302036
fri_c4_1000_50.arff,0.16066923554982773,-0.20184040331139436
wine.arff,-0.24268416503005874,0.25747166337195654
fri_c0_250_10.arff,0.24634888799025173,-0.1556127133817116
teachingAssistant.arff,0.1636915350042979,-0.14631807434112679
fri_c4_500_50.arff,0.02059526046434189,-0.2092738429085232
fri_c1_250_5.arff,0.37128080191990526,0.014194332498298738
kdd_synthetic_control.arff,-0.29958030662107743,0.5444158990752269
rmftsa_ladata.arff,0.14803377654703032,0.01813273573743705
Smartphone-Based_Recognition_of_Human_Activities_php0gEU7D.arff,-0.44475563188289824,-0.3569713428292479
mfeat-zernike.arff,-0.17000450298446265,0.3836713896740011
mfeat-karhunen.arff,-0.22760031115299006,0.12287128128684427
plasma_retinol.arff,0.16784453270463195,-0.1909617155163317
fri_c2_500_5.arff,0.3871702244871172,0.03636459784593584
fri_c3_250_10.arff,0.15824669837555463,-0.14542341764016303
fri_c2_500_10.arff,0.2728262925315112,-0.1428209861849928
ozone-level-8hr_phpdReP6S.arff,0.0024968356911629266,0.19176841676137246
fri_c4_100_25.arff,-0.15991061605468232,-0.17918133707685702
fri_c4_250_25.arff,0.10284086417547428,-0.1943726333242741
autoUniv-au7-700_phpeCbcLC.arff,0.23756884520404528,-0.22537169473293828
kdd_JapaneseVowels.arff,0.0829295358236962,0.4183318977190797
flags.arff,0.09918182178746376,-0.0985696114026936
autoUniv-au7-500_phpGCUgKd.arff,0.25234642268159296,-0.22084674001103302
vertebra-column_phpOkU53r.arff,-0.07452295897949493,-0.11682576349261313
mc2.arff,-0.1282208022509145,-0.05663985892531125
dataset_53_heart-statlog.arff,0.3306089288324806,0.017561516723667087
autoUniv-au1-1000_php7KLval.arff,0.3444546216010049,-0.10117687444402189
zoo.arff,-0.3509110344876285,0.5162155905091137
synthetic_control.arff,-0.4160286849290443,-0.21429150031146993
mfeat-factors.arff,-0.18179680550712804,0.42519308260962974
fri_c0_500_25.arff,0.1862201850546521,-0.18206233223047444
visualizing_environmental.arff,0.22977879190307285,-0.13850109690763632
letter.arff,0.15001959064434323,0.46388819622204025
fri_c1_250_25.arff,0.11265424848375412,-0.20609885239536652
cpu_act.arff,0.30508830195689607,0.18666461901201326
auto_price.arff,-0.19919622750350482,0.44098217757786967
breast-tissue_phpydCnZg.arff,-0.1749970960612385,-0.2452997309993051
lymph.arff,0.29120293715788886,0.012390666313752704
fri_c3_100_50.arff,-0.1897534904229837,-0.15683340301899815
fri_c1_1000_5.arff,0.40694228030990093,0.05210004348624391
iris.arff,-0.27293428405725706,0.478255612591689
jEdit_4.0_4.2.arff,0.29036448008941707,-0.02607717838199311
fri_c3_250_50.arff,-0.14189983618041951,-0.20093620500915865
robot-failures-lp5_phpWniPo4.arff,-0.29148848778803177,-0.11260550541858487
thoracic-surgery_phpjX67St.arff,0.2995923530397906,0.10403382113662138
fri_c3_250_5.arff,0.36481077444757015,0.05109043004573105
fri_c1_100_5.arff,0.34271883295635036,-0.054286509148501416
fri_c2_500_50.arff,0.09373896426357588,-0.19062241935627366
ar1.arff,-0.18349140111166887,0.30960109355342186
fri_c1_100_25.arff,-0.15462373095779056,-0.16340422985716818
planning-relax_phpSRnbqC.arff,0.06625007570568205,-0.17243952505521107
