openml, fri_c3_1000_10.arff, f1=0.9842957127319953, f1_std=0.031156324353272976, f2=0.44067185769118006, f2_std=0.0, f3=0.97, f3_std=0.0, f4=0.929, f4_std=0.0, l1=0.17232934225685959, l1_std=0.0, l2=0.32499999999999996, l2_std=0.0, l3=0.30900000000000005, l3_std=0.0, n1=0.401, n1_std=0.0, n2=0.4587813302299587, n2_std=0.06491112881846048, n3=0.242, n3_std=0.4282942913464993, n4=0.355, n4_std=0.478513322698543, t1=0.894, t1_std=0.0, t2=0.01, t2_std=0.0
openml, qsar-biodeg_phpGUrE90.arff, f1=0.9521596148894348, f1_std=0.04754257670051939, f2=0.0, f2_std=0.0, f3=0.9203791469194312, f3_std=0.0, f4=0.6644549763033175, f4_std=0.0, l1=0.08782286377616422, l1_std=0.0, l2=0.1080568720379147, l2_std=0.0, l3=0.11563981042654026, l3_std=0.0, n1=0.2729857819905213, n1_std=0.0, n2=0.3514786288121287, n2_std=0.17740480428847827, n3=0.16966824644549763, n3_std=0.37534108833647234, n4=0.47393364928909953, n4_std=0.4993200830735895, t1=0.376303317535545, t1_std=0.0, t2=0.03886255924170616, t2_std=0.0
openml, fri_c0_100_50.arff, f1=0.9829504991639436, f1_std=0.036771369725551305, f2=0.1331903499626623, f2_std=0.0, f3=0.86, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.0, l1_std=0.0, l2=0.0, l2_std=0.0, l3=0.10999999999999999, l3_std=0.0, n1=0.57, n1_std=0.0, n2=0.49384165384971473, n2_std=0.01969043911904008, n3=0.36, n3_std=0.48, n4=0.26, n4_std=0.4386342439892262, t1=1.0, t1_std=0.0, t2=0.5, t2_std=0.0
openml, fri_c2_1000_5.arff, f1=0.9185364979713466, f1_std=0.060868326957875134, f2=0.7553362824100858, f2_std=0.0, f3=0.982, f3_std=0.0, f4=0.965, f4_std=0.0, l1=0.17699040857619497, l1_std=0.0, l2=0.21999999999999997, l2_std=0.0, l3=0.20799999999999996, l3_std=0.0, n1=0.198, n1_std=0.0, n2=0.3645632335488417, n2_std=0.10684224229025632, n3=0.11, n3_std=0.31288975694324034, n4=0.335, n4_std=0.4719904660054057, t1=0.368, t1_std=0.0, t2=0.005, t2_std=0.0
openml, ar6.arff, f1=0.935607850488413, f1_std=0.05213350514813897, f2=1.964511907787316e-16, f2_std=0.0, f3=0.7821782178217822, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.07444915517232886, l1_std=0.0, l2=0.07920792079207917, l2_std=0.0, l3=0.08910891089108908, l3_std=0.0, n1=0.33663366336633666, n1_std=0.0, n2=0.33758981282808836, n2_std=0.19716065418735448, n3=0.19801980198019803, n3_std=0.3985071643068932, n4=0.18811881188118812, n4_std=0.3908070169503079, t1=0.43564356435643564, t1_std=0.0, t2=0.2871287128712871, t2_std=0.0
openml, arsenic-male-bladder.arff, f1=0.9014230534790365, f1_std=0.14796409864651916, f2=0.0008349432875408946, f2_std=0.0, f3=0.9069767441860465, f3_std=0.0, f4=0.3738819320214669, f4_std=0.0, l1=0.019941356046322745, l1_std=0.0, l2=0.02146690518783545, l2_std=0.0, l3=0.012522361359570633, l3_std=0.0, n1=0.06082289803220036, n1_std=0.0, n2=0.15407220123261142, n2_std=0.14227140263649415, n3=0.04114490161001789, n3_std=0.19862527201119157, n4=0.05366726296958855, n4_std=0.22535990738137424, t1=0.07155635062611806, t1_std=0.0, t2=0.007155635062611807, t2_std=0.0
openml, fri_c2_250_25.arff, f1=0.9840219006024015, f1_std=0.03268175271033634, f2=0.44807289654858856, f2_std=0.0, f3=0.948, f3_std=0.0, f4=0.456, f4_std=0.0, l1=0.16949171092428528, l1_std=0.0, l2=0.22799999999999998, l2_std=0.0, l3=0.21999999999999997, l3_std=0.0, n1=0.568, n1_std=0.0, n2=0.492317288850276, n2_std=0.02861932578647745, n3=0.412, n3_std=0.4921950832749145, n4=0.316, n4_std=0.46491289506745237, t1=1.0, t1_std=0.0, t2=0.1, t2_std=0.0
openml, fri_c3_500_25.arff, f1=0.9919025496670085, f1_std=0.021273527618774192, f2=0.32902701849604, f2_std=0.0, f3=0.956, f3_std=0.0, f4=0.77, f4_std=0.0, l1=0.17223691383544293, l1_std=0.0, l2=0.30800000000000005, l2_std=0.0, l3=0.30200000000000005, l3_std=0.0, n1=0.536, n1_std=0.0, n2=0.48998226785212523, n2_std=0.029817076434375516, n3=0.34, n3_std=0.4737087712930804, n4=0.286, n4_std=0.4518893669915236, t1=1.0, t1_std=0.0, t2=0.05, t2_std=0.0
openml, analcatdata_authorship-2.arff, f1=0.8983504892672848, f1_std=0.1281594132473999, f2=3.8576587480137373e-13, f2_std=0.0, f3=0.7752675386444708, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.0, l1_std=0.0, l2=0.0, l2_std=0.0, l3=0.0, l3_std=0.0, n1=0.011890606420927468, n1_std=0.0, n2=0.4300226838313257, n2_std=0.028101431974239754, n3=0.0047562425683709865, n3_std=0.06880131339590694, n4=0.24494649227110582, n4_std=0.4300554710676135, t1=0.9227110582639715, t1_std=0.0, t2=0.08323424494649227, t2_std=0.0
openml, machine_cpu.arff, f1=0.6774444291526528, f1_std=0.13716800423595396, f2=0.0002545358824014689, f2_std=0.0, f3=0.6555023923444976, f3_std=0.0, f4=0.3827751196172249, f4_std=0.0, l1=0.043388688808449705, l1_std=0.0, l2=0.04784688995215314, l2_std=0.0, l3=0.019138755980861233, l3_std=0.0, n1=0.10047846889952153, n1_std=0.0, n2=0.19869178393389977, n2_std=0.1978500861034717, n3=0.06220095693779904, n3_std=0.24152018113155907, n4=0.11004784688995216, n4_std=0.31294938613909723, t1=0.1291866028708134, t1_std=0.0, t2=0.028708133971291867, t2_std=0.0
openml, transplant.arff, f1=0.5110298395280614, f1_std=0.20880018084365876, f2=0.0, f2_std=0.0, f3=0.0, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.0003783224951610098, l1_std=0.0, l2=0.007633587786259555, l2_std=0.0, l3=0.0, l3_std=0.0, n1=0.030534351145038167, n1_std=0.0, n2=0.1304276170356329, n2_std=0.11956022391147907, n3=0.015267175572519083, n3_std=0.12261357560464893, n4=0.015267175572519083, n4_std=0.12261357560464893, t1=0.05343511450381679, t1_std=0.0, t2=0.022900763358778626, t2_std=0.0
openml, arsenic-female-lung.arff, f1=0.8739560684292069, f1_std=0.19318044446045457, f2=0.0007252820013110385, f2_std=0.0, f3=0.7441860465116279, f3_std=0.0, f4=0.1735241502683363, f4_std=0.0, l1=0.010692789664596192, l1_std=0.0, l2=0.012522361359570633, l2_std=0.0, l3=0.014311270125223596, l3_std=0.0, n1=0.03398926654740608, n1_std=0.0, n2=0.10483311046417108, n2_std=0.11262816450240953, n3=0.014311270125223614, n3_std=0.11877060946474297, n4=0.01967799642218247, n4_std=0.1388912267891354, t1=0.044722719141323794, t1_std=0.0, t2=0.007155635062611807, t2_std=0.0
openml, pm10.arff, f1=0.9988173813650799, f1_std=0.0016342020657037323, f2=0.560889144914034, f2_std=0.0, f3=0.99, f3_std=0.0, f4=0.958, f4_std=0.0, l1=0.17584470083935055, l1_std=0.0, l2=0.43400000000000005, l2_std=0.0, l3=0.46799999999999997, l3_std=0.0, n1=0.624, n1_std=0.0, n2=0.480272630797022, n2_std=0.09452336901597617, n3=0.416, n3_std=0.4928934976239796, n4=0.412, n4_std=0.49219508327491457, t1=0.858, t1_std=0.0, t2=0.014, t2_std=0.0
