dataset,F1,F2,F3,F4,L1,L2,L3,N1,N2,N3,N4,T1,T2
analcatdata_vineyard.arff,0.9986321168106632,0.9607843137254902,0.9615384615384616,0.8547008547008547,0.3074697071138477,0.4444444444444444,0.4444444444444444,0.2286324786324786,0.2459280834230287,0.1602564102564102,0.3952991452991453,0.2670940170940171,0.0064102564102564
fri_c3_1000_50.arff,0.9950046627315732,0.3729030877150647,0.956,0.726,0.1663622780825984,0.281,0.276,0.579,0.4956888897826202,0.404,0.269,1.0,0.05
fri_c4_1000_50.arff,0.99562554725885,0.376520161862302,0.979,0.76,0.1603866749949297,0.309,0.3329999999999999,0.576,0.4968635869402621,0.422,0.256,1.0,0.05
wine.arff,0.8561638880979632,0.0013702390603282,0.4213483146067415,0.0,0.0036249447173768,0.0056179775280899,0.0112359550561798,0.0898876404494382,0.3579355651900265,0.0393258426966292,0.2528089887640449,0.3258426966292135,0.0730337078651685
fri_c0_250_10.arff,0.950737775681412,0.8465693216849675,0.96,0.824,0.1146217495633777,0.176,0.14,0.46,0.4683240049860658,0.316,0.268,0.936,0.04
teachingAssistant.arff,0.945788818587912,0.481074899451382,0.7415506256508003,0.6158253080209981,0.2030734383640578,0.321300757526733,0.3041019788253335,0.6291390728476821,0.4576489093898012,0.390728476821192,0.6556291390728477,0.6887417218543046,0.0397350993377483
fri_c4_500_50.arff,0.995484365960324,0.3087447917472672,0.944,0.382,0.174271958236297,0.278,0.296,0.592,0.4968717648460319,0.436,0.244,1.0,0.1
fri_c1_250_5.arff,0.9500854635422676,0.8078528582195535,0.94,0.852,0.1669660001813071,0.304,0.252,0.256,0.3719471545234016,0.156,0.268,0.48,0.02
kdd_synthetic_control.arff,0.9094051778844792,1.3408872943980372e-14,0.13,0.0,0.0,0.0,0.0,0.0033333333333333,0.2902681474042234,0.0,0.2333333333333333,0.0333333333333333,0.1016666666666666
rmftsa_ladata.arff,0.8147110022889903,0.0127215819900752,0.7145669291338582,0.5767716535433071,0.0791032089436358,0.1043307086614173,0.076771653543307,0.2440944881889764,0.4057387449918377,0.1417322834645669,0.2992125984251969,0.5196850393700787,0.0196850393700787
Smartphone-Based_Recognition_of_Human_Activities_php0gEU7D.arff,0.2731232206789714,4.1241805596135774e-14,0.0355555555555555,0.0,0.0,0.0,0.0,0.2055555555555555,0.4186197844035481,0.0777777777777777,0.0,0.6833333333333333,0.3722222222222222
mfeat-zernike.arff,0.9167497584755028,7.683858886598689e-13,0.5315,0.0,0.0027967186175182,0.002,0.004,0.017,0.2913638148276686,0.008,0.217,0.2185,0.0235
mfeat-karhunen.arff,0.98106676671926,1.2739300254931692e-11,0.6945,0.0,0.0,0.0,0.004,0.0255,0.3846587100546275,0.011,0.1765,0.694,0.032
plasma_retinol.arff,0.9951462363132048,0.0083635768556549,0.9682539682539684,0.8952380952380953,0.2175809937869826,0.3873015873015872,0.3968253968253968,0.6888888888888889,0.4969809323823483,0.4539682539682539,0.365079365079365,0.9206349206349206,0.0412698412698412
fri_c2_500_5.arff,0.9394397370999452,0.6969959314955773,0.956,0.906,0.163799744223381,0.274,0.26,0.218,0.3755328899056719,0.108,0.332,0.46,0.01
fri_c3_250_10.arff,0.9813848770569956,0.2636408478193262,0.932,0.716,0.1630608306971692,0.3,0.292,0.456,0.4679613081299225,0.308,0.344,0.884,0.04
fri_c2_500_10.arff,0.9615622012227408,0.7266512949091227,0.986,0.914,0.1938933446872885,0.2159999999999999,0.2279999999999999,0.424,0.4635948415458588,0.28,0.34,0.912,0.02
ozone-level-8hr_phpdReP6S.arff,0.9744546245936808,1.3477416096721917e-18,0.744672454617206,0.2908445146014207,0.0417959377983235,0.0548539857932123,0.0891870560378848,0.1207576953433307,0.4006329853670072,0.0773480662983425,0.1061562746645619,0.4068666140489345,0.0284135753749013
fri_c4_100_25.arff,0.97062904502499,0.2027257220565297,0.9,0.0,0.1393691137728258,0.14,0.14,0.51,0.4938213609814278,0.4,0.21,1.0,0.25
fri_c4_250_25.arff,0.9871736055394816,0.3376053629185249,0.956,0.596,0.1638476370093394,0.292,0.296,0.548,0.4863908855253114,0.344,0.296,1.0,0.1
autoUniv-au7-700_phpeCbcLC.arff,0.9865985470580868,0.8671460356660581,0.9075378426140952,0.8896689286667501,0.1895814383419869,0.3711750607175443,0.3456895642080828,0.7814285714285715,0.5254620671952669,0.5914285714285714,0.5757142857142857,0.9371428571428572,0.0171428571428571
kdd_JapaneseVowels.arff,0.9209698189656386,0.0085620510026733,0.5523541813070977,0.3265736371850216,0.0265745163803933,0.0352374259612489,0.0306194157213131,0.0067262323059933,0.2352575781325273,0.0011043067965063,0.2235719305290633,0.1173576950105411,0.0014054813773717
flags.arff,0.9838363541015428,0.0,0.788659793814433,0.6804123711340206,0.1285009894404798,0.1752577319587629,0.1546391752577319,0.5154639175257731,0.4442523286467306,0.3505154639175257,0.3144329896907216,0.7422680412371134,0.1494845360824742
autoUniv-au7-500_phpGCUgKd.arff,0.9822866889635292,0.9107266196992172,0.966031443196065,0.9204584143185146,0.1973508693137258,0.2942475798631574,0.2777350344604052,0.806,0.5307772865436639,0.638,0.564,0.932,0.024
vertebra-column_phpOkU53r.arff,0.6923785315788668,0.0156817144301092,0.4690079365079365,0.2586666666666666,0.0473511942223578,0.0742579365079365,0.0590039682539682,0.3806451612903225,0.4212388601337994,0.2387096774193548,0.1903225806451612,0.5612903225806452,0.0193548387096774
mc2.arff,0.9290152366467294,8.395835644881061e-07,0.8385093167701864,0.0124223602484472,0.1139879355738562,0.1739130434782608,0.217391304347826,0.4906832298136646,0.4040465183759127,0.2795031055900621,0.2981366459627329,0.6273291925465838,0.2422360248447205
dataset_53_heart-statlog.arff,0.8844542341540629,0.1959058832005505,0.9851851851851852,0.9074074074074074,0.1045015297309993,0.1444444444444445,0.0703703703703704,0.3407407407407407,0.3944560018715972,0.2259259259259259,0.2629629629629629,0.4851851851851851,0.0481481481481481
autoUniv-au1-1000_php7KLval.arff,0.994855391539862,1.0,1.0,1.0,0.2057188244638419,0.259,0.259,0.462,0.4521654734158014,0.316,0.258,0.743,0.02
zoo.arff,0.7434898471355839,0.0,0.0,0.0,0.0,0.0,0.0,0.0198019801980198,0.0988238781117896,0.0,0.2277227722772277,0.0693069306930693,0.1683168316831683
synthetic_control.arff,0.4010052888597471,3.738214991707204e-31,0.022,0.0,0.0,0.0,0.0,0.0333333333333333,0.4117932857142341,0.0083333333333333,0.5366666666666666,0.7866666666666666,0.1016666666666666
mfeat-factors.arff,0.929545770700714,5.7418058324220745e-59,0.4785,0.0,0.0,0.0,0.0004999999999999,0.0145,0.2829852547120876,0.0065,0.259,0.1635,0.108
fri_c0_500_25.arff,0.9819734582153884,0.7852270958146333,0.96,0.718,0.125017963393247,0.158,0.142,0.548,0.4910136178411978,0.366,0.214,1.0,0.05
visualizing_environmental.arff,0.8790272931165396,0.3368849457049204,0.8828828828828829,0.7207207207207207,0.1604938911152509,0.2612612612612612,0.2702702702702703,0.5945945945945946,0.4446603090361379,0.3693693693693693,0.3333333333333333,0.6486486486486487,0.027027027027027
letter.arff,0.9890226182501398,0.0003481523978239,0.74545,0.348,0.0238649144229354,0.0226499999999999,0.0272499999999999,0.0043,0.1617530204583338,0.00165,0.06365,0.04705,0.0008
fri_c1_250_25.arff,0.9905479774909176,0.5911002251720353,0.92,0.552,0.1700573819536845,0.3199999999999999,0.272,0.564,0.4932580764498657,0.384,0.292,1.0,0.1
cpu_act.arff,0.840124927216063,3.741028896492986e-08,0.879150390625,0.7239990234375,0.0500887563114569,0.061767578125,0.0321044921875,0.1292724609375,0.3090518032740854,0.085693359375,0.286376953125,0.2825927734375,0.0025634765625
auto_price.arff,0.6845392836570545,3.091878069168996e-07,0.270440251572327,0.0,0.0023998533680464,0.0125786163522012,0.0062893081761006,0.0566037735849056,0.1462963387660845,0.0377358490566037,0.220125786163522,0.0817610062893081,0.0943396226415094
breast-tissue_phpydCnZg.arff,0.8531201860154921,0.1398582544203521,0.655654385008467,0.0,0.1159336983194588,0.1155551400296895,0.1139167344647605,0.7641509433962265,0.5109993800223671,0.6320754716981132,0.6698113207547169,0.9056603773584906,0.0849056603773584
lymph.arff,0.9369602130364186,0.2448979591836734,0.9527027027027029,0.8581081081081081,0.0905737969311387,0.1081081081081081,0.1081081081081081,0.3513513513513513,0.403277035647837,0.25,0.2635135135135135,0.5202702702702703,0.1216216216216216
fri_c3_100_50.arff,0.9870190652690416,0.0747735821840887,0.9,0.0,0.0437861962365769,0.04,0.18,0.58,0.494156742015085,0.34,0.31,1.0,0.5
fri_c1_1000_5.arff,0.9665446590805014,0.809486098185577,0.949,0.924,0.1639459091131085,0.365,0.3269999999999999,0.212,0.3688499397968944,0.117,0.371,0.391,0.005
iris.arff,0.3728866762279394,0.0,0.0,0.0,0.0,0.0,0.0,0.0133333333333333,0.0740272095362042,0.0,0.2933333333333333,0.0133333333333333,0.0266666666666666
jEdit_4.0_4.2.arff,0.953383135955132,0.0506729517592232,0.9817518248175182,0.9306569343065694,0.1401039951454769,0.2664233576642335,0.2627737226277372,0.4744525547445255,0.4009383961755183,0.3102189781021898,0.3430656934306569,0.5218978102189781,0.0291970802919708
fri_c3_250_50.arff,0.9937563201434456,0.1964028881940129,0.924,0.0,0.1684063625848376,0.2279999999999999,0.252,0.632,0.4973063336064026,0.428,0.276,1.0,0.2
robot-failures-lp5_phpWniPo4.arff,0.901990920498486,9.348388357099903e-29,0.3875472539530352,0.0027397260273972,0.0016346805840332,0.0027397260273972,0.0357647806785427,0.5548780487804879,0.4625993577138084,0.3780487804878049,0.6158536585365854,0.7560975609756098,0.5487804878048781
thoracic-surgery_phpjX67St.arff,0.9934943428414964,0.0,0.9234042553191488,0.8914893617021277,0.1296296296447324,0.1489361702127659,0.1489361702127659,0.3340425531914893,0.3556775093746609,0.225531914893617,0.202127659574468,0.351063829787234,0.0340425531914893
fri_c3_250_5.arff,0.9459330910808058,0.4379525484960227,0.964,0.88,0.1472462088870348,0.276,0.28,0.268,0.387555159407691,0.152,0.328,0.404,0.02
fri_c1_100_5.arff,0.9462939833397708,0.8640476478920912,0.96,0.85,0.162427877776313,0.31,0.17,0.43,0.4307001755442732,0.29,0.31,0.56,0.05
fri_c2_500_50.arff,0.9894893208268531,0.5150471648018935,0.974,0.506,0.160339958545417,0.2319999999999999,0.2239999999999999,0.542,0.4956402359984824,0.362,0.24,1.0,0.1
ar1.arff,0.9549051330569576,0.0,0.4958677685950413,0.0165289256198347,0.0430202610629809,0.049586776859504,0.024793388429752,0.1652892561983471,0.240584640178354,0.0826446280991735,0.1239669421487603,0.2314049586776859,0.2396694214876033
fri_c1_100_25.arff,0.975893931811094,0.23962486183626,0.89,0.0,0.1546417216820945,0.15,0.17,0.48,0.4884312091419954,0.28,0.26,1.0,0.25
planning-relax_phpSRnbqC.arff,0.9987764933637944,0.0723725308569649,0.9010989010989012,0.5659340659340659,0.2217887252641978,0.2857142857142857,0.2857142857142857,0.6043956043956044,0.4587200933156427,0.3736263736263736,0.3461538461538461,0.9065934065934066,0.0659340659340659
analcatdata_neavote.arff,0.9787087116433448,0.562358276643991,0.62,0.38,0.0654204781144982,0.0699999999999999,0.0699999999999999,0.21,0.2669069122447973,0.18,0.09,0.19,0.03
fri_c4_1000_100.arff,0.9972391652141612,0.2229675104332971,0.947,0.517,0.1654429263164206,0.274,0.275,0.59,0.4982947991303219,0.427,0.258,1.0,0.1
fri_c4_500_100.arff,0.995520942989744,0.1814096343341355,0.97,0.0,0.1598648399851111,0.2159999999999999,0.1899999999999999,0.612,0.4986317138780158,0.478,0.272,1.0,0.2
robot-failures-lp4_php44ZCDh.arff,0.910340872095251,2.872294510915674e-56,0.3341472520908005,0.0,0.0,0.0,0.017824074074074,0.2991452991452991,0.4104695870568832,0.1794871794871795,0.6068376068376068,0.4615384615384615,0.7692307692307693
fri_c4_250_50.arff,0.994258971559908,0.1802058000195532,0.936,0.0,0.1834924555578924,0.2279999999999999,0.292,0.584,0.4975407118109672,0.42,0.224,1.0,0.2
pwLinear.arff,0.9250579460794214,1.0,1.0,1.0,0.0792771354150648,0.0949999999999999,0.0749999999999999,0.36,0.4111933616904407,0.21,0.255,0.54,0.05
